created_at,reposts_count,comments_count,attitudes_count
2016-06-24,36,273,961
2016-06-24,18,186,828
2016-06-24,11,39,264
2016-06-26,24,165,944
2016-06-27,22,128,880
2016-06-27,18,261,672
2016-06-27,15,199,699
2016-06-28,24,169,840
2016-06-29,23,191,930
2016-06-30,24,171,893
2016-07-01,77,245,1114
2016-07-06,27,168,1036
2016-07-07,35,301,1005
2016-07-10,28,204,1029
2016-07-12,25,187,907
2016-07-12,31,280,804
2016-07-13,49,230,860
2016-07-14,32,174,766
2016-07-14,32,228,900
2016-07-17,23,154,1017
2016-07-18,28,124,937
2016-07-18,28,420,927
2016-07-19,21,115,485
2016-07-20,48,545,1134
2016-07-22,26,145,982
2016-07-25,28,186,849
2016-07-26,25,238,808
2016-07-29,29,176,853
2016-07-31,30,193,1267
2016-07-31,26,149,974
2016-07-31,56,174,1052
2016-08-01,26,208,977
2016-08-02,37,285,1048
2016-08-03,33,237,1139
2016-08-04,183,476,1703
2016-08-04,125,299,1434
2016-08-05,70,412,1332
2016-08-07,85,408,1623
2016-08-09,65,310,2025
2016-08-10,66,639,1339
2016-08-14,59,404,1490
2016-08-15,46,401,1521
2016-08-20,50,256,1161
2016-08-21,78,381,1376
2016-08-23,41,408,1478
2016-08-26,51,424,1358
2016-08-28,39,248,1252
2016-08-30,43,275,1505
2016-08-31,212,195,484
2016-09-01,108,525,1634
2016-09-02,48,206,1065
2016-09-04,52,389,1328
2016-09-08,36,272,1146
2016-09-11,101,197,1495
2016-09-12,39,242,763
2016-09-13,46,354,1393
2016-09-14,159,661,1526
2016-09-16,55,277,1508
2016-09-16,19,260,1180
2016-09-16,39,258,1279
2016-09-21,32,229,1204
2016-09-23,40,177,977
2016-09-24,40,210,1040
2016-09-26,42,302,1192
2016-10-01,72,336,1460
2016-10-02,40,222,942
2016-10-04,41,197,742
2016-10-07,88,684,1622
2016-10-11,77,329,1355
2016-10-11,44,254,1101
2016-10-12,42,288,1194
2016-10-13,43,206,1192
2016-10-15,112,314,1309
2016-10-17,100,424,1473
2016-10-23,40,226,1287
2016-10-24,40,327,1268
2016-10-29,58,214,1095
2016-10-29,93,679,1445
2016-10-31,15,184,681
2016-11-02,57,493,1515
2016-11-06,110,468,1318
2016-11-11,42,237,1020
2016-11-13,154,621,1477
2016-11-14,50,253,1206
2016-11-17,45,380,1209
2016-12-02,42,242,1018
2016-12-04,103,449,1343
2016-12-08,41,230,1067
2016-12-11,84,180,1076
2016-12-12,71,188,1061
2016-12-15,102,467,1383
2016-12-17,45,235,1036
2016-12-26,48,234,1252
2016-12-30,68,149,685
2017-01-01,51,199,1218
2017-01-02,31,261,1088
2017-01-02,28,214,1154
2017-01-07,30,168,1267
2017-01-09,95,329,1221
2017-01-10,71,384,1279
2017-01-12,157,571,1567
2017-01-13,25,302,1081
2017-01-14,44,315,1287
2017-01-19,66,268,1118
2017-01-21,79,290,1429
2017-01-22,68,488,1233
2017-01-24,43,259,866
2017-01-24,31,30,417
2017-01-24,70,31,626
2017-01-26,164,484,1467
2017-01-27,146,452,1243
2017-01-27,65,422,1197
2017-01-30,127,344,2002
2017-01-30,23,259,1114
2017-01-30,31,223,1119
2017-01-31,36,222,1152
2017-02-02,56,242,1472
2017-02-04,52,298,1155
2017-02-05,65,248,1037
2017-02-05,77,474,1714
2017-02-06,30,359,1346
2017-02-07,53,319,1261
2017-02-08,34,187,1230
2017-02-11,70,225,1057
2017-02-11,45,187,1301
2017-02-12,26,208,1000
2017-02-12,25,166,1179
2017-02-13,71,310,1453
2017-02-14,84,458,1352
2017-02-22,56,346,1507
2017-03-02,58,398,1284
2017-03-04,137,568,1777
2017-03-05,48,298,1264
2017-03-11,62,209,1224
2017-03-12,51,221,1259
2017-03-18,38,47,438
2017-03-18,73,198,1139
2017-03-19,62,246,1056
2017-03-25,50,219,1084
2017-04-03,68,206,1226
2017-04-10,49,242,1170
2017-04-20,51,303,1322
2017-04-24,47,225,1243
2017-05-05,19,126,451
2017-05-06,45,263,1087
2017-05-07,42,164,1101
2017-05-08,156,766,1453
2017-05-08,156,606,1676
2017-05-13,39,179,1002
2017-05-13,69,273,1175
2017-05-20,60,262,1152
2017-05-24,45,182,1021
2017-05-27,67,340,1197
2017-05-28,42,254,960
2017-06-12,37,181,946
2017-06-13,46,267,1025
2017-06-23,0,4,264
2017-06-23,36,178,938
2017-06-28,21,174,783
2017-06-30,31,201,773
2017-07-02,33,175,849
2017-07-09,29,126,770
2017-07-11,1,4,192
2017-07-11,27,139,870
2017-07-15,1,7,191
2017-07-20,0,4,210
2017-07-23,24,105,892
2017-07-26,2,30,261
2017-07-28,82,237,1117
2017-07-28,0,10,200
2017-07-29,70,388,1596
2017-07-29,58,214,1466
2017-07-30,23,138,798
2017-07-31,39,160,948
2017-08-04,40,247,1154
2017-08-05,37,176,996
2017-08-07,17,73,409
2017-08-09,5,24,359
2017-08-09,15,22,318
2017-08-12,70,231,1207
2017-08-16,41,163,939
2017-08-16,1,9,231
2016-09-23,122,531,2193
